DV2,DV1,Productissues,BO,Advertisingassets,RDassets,Size,Profit,Liquidity,Leverage,Capitalintensity,Retainedearnings,Relativeperformance,Concentration,Salesgrowth,Salesturbulence,Industrycompetition,Industrygrowth,Industryturbulence,fyear
-1.6382817,.47908384,-.089604594,.41892225,-.16624647,-.47205526,-.57663351,-.052464504,-.76738733,.46594155,-.93097949,.093590155,-.16085641,-.19931266,.50474334,.45128682,1.8443043,.48696992,-.023289815,2018
-1.5423641,.4715836,-.089604594,.53258586,-.1989758,-.47208178,-.55602127,.19588473,-.70697129,.35538688,-.84215409,.10543399,.38085708,-.22849326,-.25922772,.36403033,1.6680576,.011807007,-.060690615,2019
-3.4411223,.31045207,.23021112,.78553092,-.24351603,-.10433316,1.5878561,.38769126,-.86989242,-.31583607,-.096282713,.25847077,-.10207292,-.53568673,-.088141866,-.74549222,-.37010637,.11821633,-.53626597,2007
-2.7594028,.6185804,-.089604594,.72447103,-.24351603,-.034625683,1.5878561,.47171846,-.84955752,-.27848563,-.21650468,.25005826,.38085708,-.53592646,-.019053811,-.6471346,-.42084143,.16118665,-.49410689,2008
-3.2138076,.52505505,.23021112,.59003949,-.24351603,-.05175212,1.5878561,.46369129,-.51716584,-.086601265,-.3725701,.26401114,.38085708,-.554398,.18421365,-.64375567,-.44359696,.28761181,-.49265859,2009
-3.3605969,.45225233,-.089604594,1.0216875,-.24351603,-.0081616184,1.5878561,.33514073,-1.0642192,.12807028,-.44370043,.249034,.38085708,-.554398,.143264,-.68433672,-.42348492,.26214257,-.51005286,2010
-3.6519363,.37556264,.23021112,.97418278,-.24351603,.090564735,1.5878561,.33774796,-.80506176,-.17454861,-.46520883,.25176558,.38085708,-.554398,.24112409,-.79690593,-.45097649,.32300809,-.55830348,2011
-3.543148,.28067586,.23021112,.63667387,-.24351603,.1005976,1.5878561,.37912828,-.15911865,-.081406318,-.53252262,.25240749,.087114304,-.554398,.19204597,-.7951299,-.44462976,.29248321,-.5575422,2012
-3.5517435,.22104675,.23021112,1.0026609,-.24351603,.32848004,1.5878561,.24496165,-.36443874,-.44584209,-.42216527,.30383924,-.007881836,-.554398,.077489488,-.76564515,-.55819708,.22123316,-.54490411,2013
-2.6322575,.11358805,.23021112,.69736075,-.24351603,.27478561,1.5878561,.18927544,-.91828805,-.42360187,-.38245589,.29314116,-.024482924,-.554398,-.81125122,.91942525,-.62779355,-.33153203,.17736866,2014
-2.361788,-.017883804,.23021112,.4044967,-.24351603,.20983937,1.5878561,.27607507,-.8891784,-.3339662,-.41309053,.3032518,-.019903649,-.554398,-1.418856,.70666051,-.4432447,-.83312792,.086171173,2015
-3.2119632,.38357285,.23021112,-.041079722,-.24351603,.021753592,1.5878561,.10236379,.40173623,.55221254,-.60545105,.26590592,.38085708,-.554398,-1.418856,.56268787,-.4130598,-1.0594115,.024460087,2016
-3.6712561,.13551992,.23021112,.14346822,-.24351603,-.12693068,1.5878561,.039522562,-.75650078,.21534196,-.65927178,.22952408,.38085708,-.554398,-1.418856,1.1480483,-.40626588,-.8787083,.2753635,2017
-4.1866779,.14193216,.23021112,.19022703,-.24351603,-.074181594,1.5878561,.16119725,-1.0708786,-.25810665,-.5786311,.23525447,.38085708,-.5471943,-.13977668,-.038989905,-.4401961,.086101308,-.23343743,2018
